Sentence,"Aspect Term","True Polarity",Gemini_Polarity
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.","Windows XP drivers",negative,Negative
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.","sound card",negative,Neutral
"That's very possible, but since they don't make Windows XP drivers for the sound card in this machine, I was stuck until Windows 7 came out.","Windows 7",positive,Positive
"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",features,positive,Positive
"I'ts nice to have the higher-end laptops, but this fits my budget and the features I need.",budget,positive,Positive
"Was disappointed to find out that the model had been discontinued, apparently because of known motherboard problems.",motherboard,negative,Negative
"Well, I started using Google Chrome, which is a little better, but it freezes too sometimes.","Google Chrome",conflict,Negative
"Also the speakers are not very loud, But it is a netbook.",speakers,negative,Negative
"LOVE THIS LAPTOP WONDERFUL PRICE FOR WHAT YOU GET!",PRICE,positive,Positive
"Just a black screen!",screen,negative,Negative
"A key contributor that led me to Mac is the art aspect.","art aspect",positive,Positive
"Eventually my battery wouldn't charge, so unless I had it plugged in it wouldn't even power on.",battery,negative,Negative
"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",surfing,positive,Positive
"My first problem was with the pre-loaded Norton Firewall/Security program.","pre-loaded Norton Firewall/Security program",negative,Negative
"I had a USB connect but, i can't use it because it is not compatible.","USB connect",negative,Negative
"Accordingly, I have decided to NEVER purchase another HP product (my five year old Compaq) lasted 5-years before the hard drive crashed.","hard drive",negative,Negative
"I know that everyone thinks Macs are overpriced and overrated, but once you get past the initial expense you'll find that they're worth every penny (besides, there's always the financing plan that Best Buy offers).",expense,negative,Positive
"I am not going to sit here and complain about it not having a cd drive and what not because it is a netbook, it is made to be compact and if you want all the other stuff get a laptop.","cd drive",conflict,Neutral
"I love the multi-touch trackpad.","multi-touch trackpad",positive,Positive
"HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.","extended warranties",negative,Negative
"HP is more interested in selling extended warranties (which cost more than the netbook new) then they are in helping or fixing.",cost,negative,Negative
"Not too much "junk" software to remove.",software,positive,Positive
"System is loosing about 20% of performance because of that.",performance,negative,Negative
"System is loosing about 20% of performance because of that.",System,negative,Negative
"It is easy to use, good quality and good price.",quality,positive,Positive
"It is easy to use, good quality and good price.",price,positive,Positive
"It is easy to use, good quality and good price.",use,positive,Positive
"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!","Apple keyboard",neutral,Positive
"The difference in the Apple keyboard from a PC's keyboard took a bit of tim to get used to, but overall it's worth it!","PC's keyboard",neutral,Neutral
"The extended warranty for the $4000 and up computers was the only one available for purchase on the drop drown menu.","extended warranty",neutral,Neutral
"Only issue is that it is a little slow, and I'm fixing that by adding more RAM.",RAM,neutral,Negative
"Another issue I have with it is the battery.",battery,negative,Negative
"After 2 months of complaints, Asus finally sent the right power supply to my techies.","power supply",neutral,Neutral
"After 2 months of complaints, Asus finally sent the right power supply to my techies.",techies,neutral,Negative
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","Sony Sonic Stage software",neutral,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",speakers,positive,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",subwoofer,positive,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","extended life battery",neutral,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","Docking port",neutral,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","bluetooth mouse",neutral,Positive
"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.","bluetooth enabled",negative,Neutral
"My MacBook Pro works like a dream, it has never overheated, or even been slightly warm for that matter.",works,positive,Positive
"PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.",Keynote,neutral,Neutral
"PC users use the Powerpoint program for slide-show presentation and Mac users utilize Keynote.","Powerpoint program",neutral,Neutral
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive,Positive
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive,Positive
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive,Positive
"I get a ton of compliments on its size, and speaking as someone who regularly commutes on a bus, I can attest to the fact that this is the perfect size computer if you're restricted to the width of your body for computing room.",size,positive,Positive
"It takes me approximately 3 tries to get to each site, then after closing the browser and reopening it it actually works.",browser,neutral,Negative
"Easy to carry, can be taken anywhere, can be hooked up to printers,headsets.",carry,positive,Positive
"also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.",keyboard,negative,Negative
"also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.",keyboard,negative,Negative
"also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.",keyboard,negative,Negative
"also the keyboard does not liht up so unless your sitting in a room with some light you cant see anything and thats bad for me because my boyfriend tends to watch tv in the dark at night which leaves me with no way of seeing the keyboard.",keyboard,negative,Negative
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",programs,negative,Negative
"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",drivers,negative,Negative
"Love that it doesn't take up space like a regular computer.",space,positive,Positive
"Asked the customer service rep.","customer service rep",neutral,Neutral
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.","genius bar staff",negative,Negative
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.",fan,neutral,Negative
"So, I took it back to the apple store and they narcissist genius bar staff) fixed it by resetting the fan at boot up.","boot up",neutral,Neutral
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",charger,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",charger,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",hardware,negative,Negative
"Then after 4 or so months the charger stopped working so I was forced to go out and buy new hardware just to keep this computer running.",hardware,negative,Negative
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.","service center",negative,NULL
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.","sales team",negative,NULL
"The tech guy then said the service center does not do 1-to-1 exchange and I have to direct my concern to the "sales" team, which is the retail shop which I bought my netbook from.","tech guy",neutral,NULL
#NAME?,keyboard,conflict,NULL
"I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!","30" HD Monitor",positive,NULL
"I also got the added bonus of a 30" HD Monitor, which really helps to extend my screen and keep my eyes fresh!",screen,neutral,NULL
"I sent it back to Toshiba twice they covered it under the  warranty.",warranty,positive,NULL
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").","Customer Service number",neutral,NULL
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").",warranty,negative,NULL
"In desparation, I called their Customer Service number and was told that my warranty had expired (2 days old) and that the priviledge of talking to a technician would cost me ("have your credit card ready").","talking to a technician",negative,NULL
"Â  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.","hard drive",negative,NULL
"Â  I continued to take the computer in AGAIN and they replaced the hard drive and mother board yet again.","mother board",negative,NULL
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.","delete  key",negative,NULL
"And if you do a lot of writing, editing is a problem since there is no  forward delete  key.",editing,negative,NULL
"I also purchased Office Max's "Max Assurance" with the "no lemon" clause.","Office Max's "Max Assurance"",neutral,NULL
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of "extra key", etc.",keyboard,positive,NULL
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of "extra key", etc.",keys,positive,NULL
"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of "extra key", etc.","configuration of "extra key"",positive,NULL
"Â  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",use,negative,NULL
"Â  It gets stuck all of the time you use it, and you have to keep tapping on it to get it to work.",work,negative,NULL
"Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.",board,negative,NULL
"Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.",connector,negative,NULL
"Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.","power supply",negative,NULL
"Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.",warrenty,negative,NULL
"Â  The board has a bad connector with the power supply and shortly after warrenty expires the power supply will start having issues.","power supply",negative,NULL
"Â  Taking it back to Best Buy I found that a tiny plastic piece inside had broken (manuf issue).",manuf,negative,NULL
"Â  After that the said it was under warranty.",warranty,neutral,NULL
"Runs Hot  I thought we were paying for quality in our decision to buy an Apple product.",quality,negative,NULL
"Â  It is easy to use, fast and has great graphics for the money.",graphics,positive,NULL
"Â  It is easy to use, fast and has great graphics for the money.",use,positive,NULL
"Â  upon giving them the serial number the first thing I was told, was that it was out of warranty and I could pay to have it repaired.",warranty,neutral,NULL
"this is my second one and the same problem, bad video card  unreliable overall, this will be my second time returning this laptop back to best buy.","video card",negative,NULL
"Â  Sometimes the screen even goes black on this computer.",screen,negative,NULL
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",HD,positive,NULL
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","graphics chip",positive,NULL
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.",components,positive,NULL
"Who couldn't love a DVD burner, 80-gigabyte HD, and fairly new graphics chip? As I soon discovered, though, there is a reason for which similarly-configured Sony and Toshiba machines cost more: they use higher-quality components that are faster, better-configured, and end up lasting a lot longer.","DVD burner",positive,NULL
"but it  has a major design flaw.",design,negative,NULL
"I feel that it was poorly put together, because once in a while different plasticÂ piecesÂ would come off of it.",plasticÂ pieces,negative,NULL
"Â A coupla months later, they change my hard drive.","hard drive",negative,NULL
"Â  My opinion of Sony has been dropping as fast as the stock market, given their horrible support, but this machine just caused another plunge.",support,negative,NULL
"and looks very sexyy:D  really the mac book pro is the best laptop specially for students in college if you are not caring about price.",price,negative,NULL
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.","Windows 7",neutral,NULL
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",Vista,neutral,NULL
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",Vista,negative,NULL
"I noticed windows has a new system called Windows 7, what about us Vista users?Â  They should get all the bugs out of Vista before investing in a new system.",windows,neutral,NULL
"I'm still within the one year warranty but the repair "depot"  has deemed that this time it was caused by physical abuse and is not  covered.",warranty,negative,NULL
"I'm still within the one year warranty but the repair "depot"  has deemed that this time it was caused by physical abuse and is not  covered.","repair "depot"",negative,NULL
"Â  But I needed a laptop for school use.","school use",neutral,NULL
"Â  Long story short, since I experience so many problems with my laptop every since I bought it from day one, I didn't ask for a new laptop or a refund of what I pay for a crapy laptop, but just an extension of my laptop warranty for another year, they made a big deal of out that and after so many calls and complaints about their products and services, they finally gave in.",warranty,neutral,NULL
"They said that my computer was covered on an extended warranty, and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore.","extended warranty",neutral,NULL
"They said that my computer was covered on an extended warranty, and that products withÂ  extended warranties are taken care of through third parties and not Sony itself anymore.","extended warranties",neutral,NULL
"Â  The casing of the power cord fried and shocked my husband when he pulled it out of the socket.","casing of the power cord",negative,NULL
"Â  Only a few days after I received the computer back, the screen froze again.",screen,negative,NULL
"Â  The lcd screen stopped working on mine after 10 months.","lcd screen",negative,NULL
"Â  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,negative,NULL
"Â  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","Adobe Flash player",negative,NULL
"Â  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","Internet Explore",negative,NULL
"Â  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.","Windows update",negative,NULL
"Â  We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,negative,NULL
"Â  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,neutral,NULL
"Â  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,neutral,NULL
"Â  Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,neutral,NULL
"Â  I was told by many  that it was a great computer, but we got one of these, and it worked  great for one year, and as soon as the warrenty was up, then it got  really bad.",warrenty,negative,NULL
"Quality Display  I love HP,, it's the only computer/printer we will buy.","Quality Display",positive,NULL
"Â     First it burned or fused the power adapter plug.","power adapter plug",negative,NULL
"Â  Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.","extended warrenty",negative,NULL
" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.	USB output	negative
With Windows laptops a wireless mouse is an absolute must.	wireless mouse	neutral
(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	size	positive
(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	screen	positive
(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	Windows	neutral
(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.	Linux	neutral
But if you're willing to pay another 200 dollar for a windows disc.	windows disc	neutral
Very good quality and well made.	quality	positive
I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.	touchpad	positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.	video card	neutral
It had the full sized touch pad with 2 buttons instead of just one.	touch pad	neutral
Typically, when I purchase a new laptop I always end up using an external mouse for convenience.	external mouse	neutral
It was super easy to set up and Is really easy to get used to.	set up	positive
The only thing that can be updated is the video, other than that you're all set.	video	negative
Its a good laptop for its value.	value	positive
Then the hard drive failed;	hard drive	negative
Plain and simple, it(laptop) runs great and loads fast.	runs	positive
Plain and simple, it(laptop) runs great and loads fast.	loads	positive
of course my warranty runs out next month.	warranty	neutral
The capabilities using that program alone made me want a Mac.	program	positive
(If you ever see the spinning beachball come up when you think it shouldn't, check the Activity Monitor" app to see if the disk throughput has temporarily dropped to zero.","disk throughput",neutral,NULL
