Text,central body,political figure,affiliate,Stance
"Two politically uncomfortable facts stand out in the aftermath of the alleged scandal over laddus in the famous Tirupati temple in Andhra Pradesh. Both could outwardly appear paradoxical. Both facts or sentiments were visible in a nationwide survey conducted by CVoter after the revelation that the ghee used to make the laddus was adulterated and contained fish oil, beef tallow, and pig lard among other things. Devout Hindus across the world have been outraged even as politics continues over the issue. advertisement What are the two seemingly paradoxical sentiments? First, a huge majority of Indians believe that this adulteration is a deliberate act to hurt the Hindu faith. A shade more than six out of every ten respondents share this sentiment. Yet, when asked if the government should not run temples and hand them over to the devotees as is the practice in other religions in India, the proportion of INDIA bloc supporters who favour the move is just marginally higher than those who disapprove. In effect, more than four out of every ten INDIA supporters think that the government should continue to control and administer temples in the country. This is despite two-thirds of India bloc supporters saying a",central government,,,neutral
"Gujarat has been a Bharatiya Janata Party (BJP) bastion ever since the party's historic win in the state in 1995. For the upcoming general elections, the party is confident that it will retain all 26 Lok Sabha seats in the state. The Congress is set to contest 24 seats, while the Aam Aadmi Party (AAP) has fielded candidates in Bharuch and Bhavnagar. In the 2022 state assembly polls, the BJP had secured a record 156 out of 182 seats. This was when the Congress and the AAP were contesting separately. The results and the campaign underlined the fact that â€˜Brand Modi' was unshaken and that Prime Minister Narendra Modi continued to be the BJP's biggest trump card for voters. Impressive Track Record The BJP has won seven consecutive assembly elections since 1995, an incredible feat in itself. By the time the current assembly completes its term in 2027, the BJP government will have been in the state for 32 years â€“ just one year and 11 months less than the Communist Party of India-Marxist's (CPI-M) nearly 34-year reign in West Bengal from 1977 to 2011. In the 2022 assembly elections, the BJP won a record 156 seats in Gujarat with",,narendra modi,bjp,pro
"On April 6, as the Bharatiya Janata Party (BJP) marked it's 44th anniversary, the theme of its Foundation Day was ""Phir Ek Baar Modi Sarkar"" (once again, Modi government). It thus is an apt time to assess the party's prospects for the 2024 general elections and to see how strong its fort is going into the Lok Sabha polls. In 2014, the BJP comprehensively defeated the Congress as it won 282 seats, and a 31% vote share. In the next Lok Sabha election, it surpassed this record with 303 seats and an even bigger vote share of 37%. 1. The Biggest Party Across All Regions It is generally believed that the BJP is strong in the North and the West but weak in the East and the South zones. While that is true, the BJP is still the single largest party in all the four regions. It's because the latter two have many regional parties that have pockets of influence but are not united under a common banner. The North and the West are strongholds of the BJP, where it won 155 out of 191 seats (81% strike rate) and 51 out of 78 seats (65% strike rate), respectively. However,",,,bjp,pro
"Less than two months before the 2018 Assembly elections in Madhya Pradesh, senior Congress leader and former Chief Minister Digvijaya Singh was caught on camera saying that he had stopped campaigning because his speeches were costing the Congress party votes. Singhâ€™s frank admission was fodder for the ruling Bharatiya Janata Party (BJP), which ridiculed him and claimed that the grand old party had thrown its hands up even before the first vote was cast. True to his words, Singh kept a very low profile throughout the campaign and the party formed a government despite falling short of a simple majority by two seats. advertisement Last week, another party veteran, Kamal Nath, said most people in Madhya Pradesh did not know him before May 1, 2018, the day he became the Pradesh Congress Committee chief. But the situation has changed now. By May 2018, Nath had already spent nearly four decades in Madhya Pradesh, representing the Chhindwara constituency in the Lok Sabha for most of that period. Six months later, he became the chief minister, though only for 15 months. The ruling BJP taunted him, saying nobody knew him in the state before because he had done nothing for them. Also",,,bjp,neutral
"The process to redraw the boundaries of parliamentary and assembly constituencies in Assam kicked off on New Yearâ€™s Day. The proposed delimitation has stoked fears and controversy, with some groups and Opposition parties saying it may end up further marginalising communities seen as outsiders to the state by the political establishment. Historically, Assamâ€™s politics has been associated with a complicated set of social divisions â€” that between the Assamese and Bengali languages, tribal and non-tribal groups, and tea plantation and reserve forest areas, among other things. Since the Bharatiya Janata Party (BJP) stormed to power in 2016, however, the state has seen an extraordinary flattening of these social divisions, at least electorally, to a single Hindu-Muslim cleavage. This is a consequential backdrop for the proposed delimitation in Assam because one part of the state has a high spatial concentration of Muslims, and the other parts of Assam have very few Muslims; in elections, this maps to areas where the BJP does poorly and very well, respectively. This electoral flattening of Assamâ€™s complex politics has turned the stateâ€™s political map into one that is comparable to that of Jammu and Kashmir â€” where the BJP dominates in Jammu, and is decimated",,,bjp,pro
"Live Events (You can now subscribe to our (You can now subscribe to our Economic Times WhatsApp channel The ruling NDA, comprising BJP , Ajit Pawar-led NCP, and Eknath Shinde-led Shiv Sena will take on state-level opposition Maha Vikas Aghadi combine of Congress , NCP (Sharadchandra Pawar) and Shiv Sena (UBT) in the fight for 48 Lok Sabha seats in Maharashtra Lok Sabha polls in Maharashtra will be held in five phases on April 19, April 26, May 7, May 13 and May 20. Counting of votes will be held on June 4.The Maha Vikas Aghadi (MVA) is part of the INDIA bloc in the key swing state, which send the second highest number of MPs to the Lower House after Uttar Pradesh, which has 80 Lok Sabha seats. In 2019 polls, BJP (23 seats) and the undivided Shiv Sena (18) were together and put up an impressive show, winning 41 of the 48 seats. Since then, regional heavyweights Shiv Sena and the NCP have suffered splits, making Maharashtra's politics fragmented and poll outcome difficult to predict.Following is a SWOT (strengths, weaknesses, opportunities, threats) analysis of the main political parties in Maharashtra:*The mass appeal and popularity of PM Narendra Modi,",,"ajit pawar, eknath shinde, narendra modi","nda, bjp, ncp (ajit pawar-led), shiv sena (eknath shinde-led)",neutral
"From opposing the legalisation of same-sex marriage in the Supreme Court of India initially to maintaining a diplomatic silence after the Court handed down its eventually disappointing judgment in 2023 (in Supriyo @ Supriya Chakraborty & Anr. vs Union of India), the Congress party has released its Nyay Patra, its election manifesto for 2024, which has a dedicated section on the rights of senior citizens, persons with disabilities, and LGBTQIA+ people. The party promises that, if elected to power, they would fulfil the Courtâ€™s mandate of ensuring a high-powered committee at the Union government level is set up to hold widespread consultations with relevant stakeholders to pass a law legalising civil unions for LGBTQ+ couples. A few things must be noted here. First, during the marriage equality hearings, Solicitor General Tushar Mehta, appearing for the Bharatiya Janata Party government, opposed marriage equality and sought the views of all States and Union territories. At that time, there was a studied silence by the Congress. However, the Rajasthan Congress, led by Chief Minister Ashok Gehlot, weighed in, stating in his submissions that legalising same-sex relationships would create â€œimbalanceâ€ in the social fabric of the country, and would lead to â€œwidespread consequences for",central government,,bjp,neutral
"If BJP has to increase its electoral footprint, it must look at acquiring talent externally â€“ especially in places where its own leadership isweak or non-existent. Whatâ€™s critical for BJP is to convert the present momentum around Narendra Modiâ€™s pan-India popularity intoelectoral dividends in some states. PTI Few would have imagined a decade ago that BJP would enter the 2024 electoral ring with four of its state unitsheaded by not rank BJP insiders but leaders who have joined from other parties, of which two are ex-Congress. At one point, this would have been considered impossible in a party in which attaining a post was seen as an outcome of the years spent within the fold mastering the larger ideological purpose.But thatâ€™s clearly changed with the",,narendra modi,bjp,pro
"Twenty-six opposition parties are in a meeting in Bengaluru. Ostensibly, the objective is to unite all the political parties that are ideologically opposed to the BJP to consolidate voter support for the 2024 national elections. At the same time, there are also 30 (apparently) other political parties in a meeting in Delhi, under the leadership of the ruling BJP, to consolidate an anti-Congress bloc. No one can make an honest case that the parties on either side of the ideological spectrum are natural alliance partners, who are in perfect harmony with each other. While these meetings seemingly reflect ideological-political formations, at their root, the primary driving force for such unity and alliance efforts is arithmetic. The aim is to ensure that votes of one formation do not get divided and the goal is to minimise splitting of votes on each side. In its naked form, these initiatives are merely a political response to the arithmetic of the first-past-the-post (FPTP) electoral system in Indiaâ€™s extremely diverse political landscape. The fountainhead of such electoral alliances among dozens of natural and unnatural parties is the fact that more than 600 parties contest the general elections and nearly three dozen parties have at least",,,bjp,neutral
"Four years is a very long time in Indian politics. In fact, the term 'very long' too may be an understatement, given the twists and turns we are getting accustomed to of late. Arvind Kejriwal is no exception and is rather one of the prime characters central to this hotchpotch. Be it his love-hate-love-hate relationship with the Congress in the run-up to the 2019 Lok Sabha election (when he desperately tried to ink a pre-poll alliance), or the diametrical change in his demeanour in engaging with Prime Minister Narendra Modi after the elections (from calling him a ""coward and psychopath"" to now going extremely soft on him), Arvind Kejriwal has come a long way. advertisement Last week, his government in Delhi gave a go-ahead to the Delhi Police to prosecute former JNU Students' Union president Kanhaiya Kumar in a sedition case dating back to 2016. The sedition case is against the same Kanhaiya Kumar whom Kejriwal had four years ago described as a person with ""amazing clarity of thoughts"". It's the same sedition charge against which the Aam Aadmi Party had protested strongly and slammed the Modi government and the Delhi Police in 2016. The case pertains to February 9,",central government,narendra modi,,neutral
"The July 18 presidential election was an opportunity for India's fragmented political opposition to consolidate and expand its base across regions. But it has seemingly failed to rise to the occasion adequately. In 2002, the BJP-led ruling National Democratic Alliance (NDA) fielded India's 'Missile Man', APJ Abdul Kalam (a Muslim). During the last election in 2017, the coalition picked then-Bihar Governor Ram Nath Kovind (a Dalit). Given the NDA's penchant for political import and candidates that mean support even from some of the opposition constituents, a tribal face was a strong possibility this time. And the opposition was expected to be politically astute. advertisement But Yashwant Sinha was fielded by the West Bengal Chief Minister and TMC leader Mamata Banerjee-driven opposition grouping that comprises a reluctant Congress and a sulking Left but is shunned by key non-NDA constituents such as the AAP (Delhi and Punjab), the TRS (Telangana), the YSRCP (Andhra Pradesh), the SAD (Punjab) and the BJD (Odisha). ALSO READ | Who is Droupadi Murmu, NDAâ€™s presidential candidate? There is no questioning the individual merit of Sinha, who quit the TMC before accepting the offer. But apart from the fact that he was, till not too long ago, a",,droupadi murmu,"nda, bjp",neutral
"Indiaâ€™s slowdown is arguably the biggest economic crisis since 1991. Lakhs of people have lost their jobs, incomes and wages are stagnating, not leaving people with enough money even to buy essentials like underwear and biscuits. The winter of 2019, even more than the summer of 2019, is ripe for a real NYAY campaign. As PM Narendra Modi claims all is well and India is on its way to becoming a $5-trillion economy, the Congress and the opposition at large could throw him a simple challenge: universal basic income. The challenge could be refined further: give either a job or minimum basic income to every family. â€˜Naukri ya NYAYâ€™. If India is doing as well as Modi claims, no Indian family should be earning less than Rs 6,000 a month. And if one is, then the government should step in with help. There will be many benefits of a NYAY campaign, if undertaken today. Also read: If anything can defeat Modi, itâ€™s the economy The upper hand First, it will help the opposition set the agenda. Mostly it is the Modi government that gets to set the agenda and the opposition only reacts. What the opposition has to say becomes",central government,narendra modi,,anti
"With only days to go before the commencement of the 2024 Lok Sabha elections, it seems increasingly likely that many alliance partners will field candidates against each other. In West Bengal, for example, the INDIA bloc, presumed to be intact elsewhere, has disintegrated completely. Chief Minister Mamata Banerjee's All India Trinamool Congress (TMC) has put forth candidates in all 42 Lok Sabha seats in the state. Banerjee has boldly challenged the Congress stronghold of Baharampur, currently represented by Congress leader Adhir Ranjan Chowdhury, by nominating former cricketer Yusuf Pathan. This strategic move is believed to be calculated, considering the significant Muslim population in the area. Even the anti-TMC, anti-Bharatiya Janata Party (BJP) front comprising the Congress, the Left parties, and the Indian Secular Front (ISF) is currently negotiating to avoid ""friendly contests"" in some constituencies. Bihar's Mahagathbandhan; INDIA In Kerala In neighbouring Bihar, the Mahagathbandhan (Grand Alliance) of the Rashtriya Janata Dal (RJD), the Congress, and the Left are engaged in last-minute discussions to avert a similar situation. Their coalition in the 2020 assembly elections proved fruitful, except for the Congress, which fared poorly. The Grand Alliance, consisting of various parties, including the RJD, the Congress, the Communist Party of",,,bjp,neutral
"Despite its initial inclination to treat welfare schemes as old-fashioned instances of â€œvote bank politicsâ€, welfare has become a priority of sorts for the Bharatiya Janata Party (BJP) under Narendra Modi. In its first term, the Modi government launched a number of flagship welfare schemes (such as the Ujjwala Yojana, Jan Dhan Yojana and Ayushman Bharat) and rebranded others. These schemes were also integrated with Aadhaar. Our findings suggest that there are some important patterns emerging in the electoral politics of welfare which are likely to shape policy design and implementation in the future(Diwakar Prasad/ Hindustan Times) In the run-up to the 2019 elections, the central government launched a new cash transfer directed at farmers â€” PM-Kisan â€” in response to rising agrarian distress. The pledge to introduce a basic income scheme (NYAY) became a central pledge in the Congress manifesto. We know relatively little about whether such existing and promised schemes made a difference to peopleâ€™s voting decisions. While the Pulwama attack and its response helped to dislodge questions of rural distress from the centre of the election agenda, media reporting suggested that the BJPâ€™s party workers made a concerted effort to reach out to beneficiaries from different schemes",central government,narendra modi,bjp,pro
"When asked to respond to Delhi Assembly election results, Bihar Chief Minister and Janata Dal United president Nitish Kumar said, ""Janata maalik hai (public is the lord)."" Nitish Kumar's JDU failed to win a single seat in Delhi election that it fought in alliance with its senior NDA partner, the BJP. The two parties will be facing public later this year when Nitish Kumar will seek yet another term as Bihar CM. advertisement The ""janata maalik hai"" remark appeared to be at variance with the narrative that the nation is in the grip of a Modi wave, as the BJP continues to assert in victory and in defeats. The ""janata maalik hai"" presents the voters and people of the country as wise women who make informed choices in elections. The wave theory on the other hand conveys that the janata is under the influence of some spell of magic. Delhi Assembly election fits in the assessment that gives the devil - the janata - its due. Appearance of Narendra Modi on the national scene and 2019 Lok Sabha election marked the beginning of a new phase of politics and electioneering in India. People voted a single-party majority government at the",,narendra modi,"nda,bjp",pro
"The voter turnout in the Srinagar and Baramulla constituencies in the Kashmir valley â€” Anantnag-Rajouri is to vote on May 25 after the Election Commission of India postponed the election â€” is well below the national average. While Srinagar registered only 38.5%, preliminary figures from Baramulla indicate a turnout of 59.1%. The national average for the first four phases was 66.95% and 61.61% in the fifth phase, according to early trends. Yet, these numbers in the Valley are salubrious compared to the past â€” 13% in Srinagar and 34.6% in Baramulla in 2019. Baramulla registered its highest turnout since 1984 (61.1% participation). In the last six years, the elected Assembly was dissolved, the erstwhile State of Jammu and Kashmir bifurcated into two Union Territories, the special status of the province abrogated by the BJP-led Union government, and the Valley subjected to months of Internet shutdowns. Scores of politicians were also arrested. Kashmir still remains Indiaâ€™s most securitised region with recurring militant violence. While local body elections have been held since then, the general election is the first major poll with significant contestation involving the Valleyâ€™s mainstream polity. Should the increase in turnout be read as a significant reduction in the",central government,,bjp,neutral
"Beyond the Bharatiya Janata Party (BJP) opening its Lok Sabha account in Kerala through Suresh Gopi, the Left's rout in the general election warrants a closer analysis. Anti-incumbency â€“ although it did play a part â€“ wasn't the only factor. There was a larger undercurrent that became evident after the Lok Sabha election results. The Left Democratic Front (LDF), led by the Communist Party of India (Marxist) (CPI-M), has been reduced to a third of the total vote share at 33.3%. It lost an additional two percentage points since 2019 despite an alliance with the Church-backed Kerala Congress (M) and the Socialists. The National Democratic Alliance's (NDA) vote share, in contrast, climbed to a staggering 19.2%. While the Congress-led United Democratic Front (UDF) also lost two percentage points and got just about 45% votes, it has retained the support of Muslims and Christians. It's the LDF that's in serious need of introspection. How CPI(M) Became A â€˜Hindu Party' It needs to be understood that the CPI(M) has long been considered Kerala's â€˜Hindu party'. This has been the case since the time the undivided Communist Party came to power in the first assembly election in 1957, soon after the Kerala Renaissance",,,"bjp, nda",neutral
"Jiby writes on politics, governance and legal affairs, and enjoys hunting for data to make his arguments. He was a leader writer in the Edit Page team at The Times of India between July 2017 and January 2023 LESS ... MORE A presidential notification, two house resolutions, and a reorganisation bill: and lo and behold, Articles 370 and 35A ceased to operate, and the state of Jammu and Kashmir was downgraded to a union territory. August 5 marks a watershed moment for Independent India history and the Constitution of India. In one massive strike, or a magical sleight of hand, call it what you may, Modi government implemented its 2019 manifesto promises on 370 that had powered it past the 300 mark in the Lok Sabha. Unfortunately, in the process government also took liberties with the Constitution, undermined federalism, and punctured the premise of autonomy in the Indian Republic under which successive generations of Kashmir politicians swore their loyalty to India. Kashmir is bound to pass through very trying times in the days ahead. The presidential notification invoked Article 370(1) to create a 2019 Constitution Order to supercede a 1954 â€œConstitution Orderâ€ issued by then President Rajendra Prasad that had",central government,,,anti
"Nizamabad MP Dharmapuri Arvind, who belongs to the Bharatiya Janata Party, chose a novel way of making his pre-election promises before the 2019 general election. Unlike other candidates who make promises in manifestos or at rallies, Mr. Arvind made them on stamp paper, mostly in vogue at the village level in Telangana and Andhra Pradesh. He won the election. Last week, Mr. Arvindâ€™s convoy was obstructed by turmeric farmers, whom he later called TRS (Telangana Rashtra Samithi) activists, when he was on a visit to Nandipet mandal. Mr. Arvind alleged that disguising themselves as turmeric farmers, TRS activists had attacked him and damaged his vehicle as the police â€œplayed spectatorsâ€. Nearly three years after the novel way in which he made his poll promises, Mr. Arvind has not been able to give a reason for his inability to fulfil two of his promises: one of getting a Turmeric Board sanctioned to Nizamabad and the other of getting a minimum support price fixed for turmeric and red jowar, both of which are grown extensively in his parliamentary constituency. He had also said in 2019 that he would quit as MP and join the farmersâ€™/ peopleâ€™s movement if he fails to keep",,dharmapuri arvind,bjp,neutral
"Like a marathon runner, Nitish Kumar has been phasing his run for Delhi. There has been no Usain Bolt-like dash to the finishing tape but a visible increase in â€œcadenceâ€- the number of steps one takes in a minute of running. But there is also a huge degree of predictability in what Nitish is doing or how he is doing it. The NDA would have never chosen him as its PM candidate. For the Opposition, he would have remained a political untouchable as long as he stayed in power with the BJPâ€™s support. advertisement By dumping and hurting the BJP in Bihar, he made himself â€œacceptableâ€ to the spectrum of Opposition parties and thus â€œeligibleâ€ for a national role. To officially signal that he is â€œavailableâ€ to be â€œchosenâ€ by the Opposition, Nitish arrived in Indiaâ€™s political hotspot - Delhi - on Monday. In the last three days, his ideological flexibility was on display. With handshakes, hugs and nostalgic rewinds to his old associations with Opposition parties and leaders, he plugged himself back into the Opposition system and went for a reboot. It was easy as the fragmented opposition needs a positive unity narrative. He had high-profile meetings with Rahul",,nitish kumar,bjp,neutral
"Amid a whiff of assertion to the chief ministerâ€™s chair by regional party satraps of BJP in Rajasthan and Madhya Pradesh, it is pertinent to look at how rebellions by popular leaders of the party played out in the past. Prominent among the names who walked out of the party are Kalyan Singh, Uma Bharati and BS Yeddyurappa . While they regretted their decision later on, the party also suffered electorally.Though the process of appointing Vishnu Deo Sai as chief minister in Chhattisgarh was smooth as Raman Singh , who was touted by some as a claimant to the post as he had served as CM for 15 years, himself willingly performed the role of announcing Saiâ€™s name. He had not fallen out of line even when the party high command had decided not to field his son in the 2019 Lok Sabha polls. However, in Rajasthan and Madhya Pradesh some dissenting voices may be heard. Vasundhara Raje , who has served as chief minister of Rajasthan twice in the past, met over 45 newly elected BJP MLAs at her residence last Tuesday. These lawmakers expressed their support to her for the CM post even as the party high command",,"kalyan singh, uma bharati, bs yeddyurappa, vishnu deo sai, raman singh, vasundhara raje",bjp,neutral
"This article was first published 3 years ago To beat BJP, you either deny them a critical mass of Hindu vote or build a regional leader and party strong enough to protect their turf, observes Shekhar Gupta. IMAGE: Bharatiya Janata Party supremo and Prime Minister Narendra Damodardas Modi being garlanded by BJP National President Jagat Prakash Nadda, Home Minister Amit Anilchandra Shah, Defence Minister Rajnath Singh and Road Transport and Highways Minister Nitin Gadkari following the party's triumph in assembly elections in Uttar Pradesh, Manipur, Uttarakhand and Goa, March 10, 2022. Photograph: Rahul Singh/ANI Photo The BJP, since its rise under Narendra Modi and Amit Shah, has been an election-winning cavalry. But it has also lost some. With its sweep in Uttar Pradesh and three other states now, the air is overloaded with gyan from the entire pundit class on why and how the BJP wins. It is important, and interesting therefore, to step away and examine when, how and why it loses. And lose it does. If in any doubt, check out how much of India the BJP controlled at its peak in early 2018, 2019, and now. In terms of area, it is now about 44 per cent,",,"narendra modi, amit shah, rajnath singh, nitin gadkari",bjp,pro
"As politics become more about the dazzle of personality and imagery, and the shrillness of emotion, the BJP looks set to continue capturing the mind-space of Indian voters. Bihar will be the next testing ground to gauge the extent of this capture. In June this year, nine opposition parties had petitioned the EC against the Bharatiya Janata Party (BJP)â€™s digital campaign in Bihar, claiming that it disturbed the level-playing field. The oppositionâ€™s concern is based on good reason, because the digital turn in politics brings four distinct and critical advantages for the BJP going into the Bihar election. The 2020 Bihar assembly election marks the beginning of an era in which digital campaigns will become central to Indian elections. With stringent guidelines issued by the Election Commission of India in light of the coronavirus pandemic, physical campaigning will have a limited impact in swinging the electoral outcome. Only groups of up to five people are allowed to campaign door-to-door, and roadshows must be restricted to five vehicles. The narrative of this election, then, will not be set in rallies and roadshows, but on WhatsApp and Facebook. Also read: â€˜Itâ€™s a joke, discourages votingâ€™ â€” Bihar MLAs upset by ECâ€™s poll",,,bjp,anti
"Kenya goes to the polls on August 9, 2022, to elect the countryâ€™s fifth President, besides national lawmakers, governors and assemblies of its 47 counties. Without a doubt, Kenyaâ€™s upcoming elections will be among the most significant political events in Africa at a time when democratic governance is receding in parts of the continent. The fact that Kenya is one of Africaâ€™s major democracies, and given its history of election-related violence, these polls are important and will be closely watched. A smooth process will consolidate democratic gains in the country and serve as a symbol for the rest of the continent. Political campaigning is in full swing and the debates mostly revolve around political dynasties, tribal power-brokers, and changing inter-ethnic alliances. Grievances about ethnic, financial, and vote-rigging corruption are existential. A close watch India is keeping a close watch on the Kenyan election because of the political, economic and cultural relationships forged between the two countries over a considerable period of time. The visit of Indiaâ€™s External Affairs Minister to Kenya during the pandemic only underscored the importance that India places on strengthening ties with this crucial East African neighbour. For a maritime country and a regional powerhouse such as",ministry of external affairs,,,neutral
"Whether it is the consecration of the Ram Mandir in Ayodhya by Prime Minister Narendra Modi or the Bharat Jodo Nyay Yatra spearheaded by Rahul Gandhi and the Congress party, the electoral and political importance of both, albeit strikingly different in their respective optics and propriety, has a strong electoral pitch for the voters of key swing states. A potent mix of religious majoritarianism and welfarism has worked well for the BJP in states like UP (that are electorally more important in national elections). On the other hand, the Congressâ€™s Yatra 2.0 plan consists of 15 states, 110 districts, and 100 Lok Sabha seats. Back in the 2019 Lok Sabha polls, the Congress party had first spoken of bringing nyay as a cash-transfer welfare scheme for the poor which unfortunately failed to find any resonance amongst the voters.",,narendra modi,bjp,neutral
"The October 17 Congress presidential election is the partyâ€™s internal matter. So why are we talking about it? Well, itâ€™s important that we do. Because the new president will have a role to play, from a limited but significant role to just some kind of a role, depending upon who among the two candidates wins. That role will be a factor in deciding whether Indiaâ€™s principal opposition party comes out of its existential crisis or slips deeper into it. advertisement Talking generally, and not necessarily with a particular election in mind, the role of a robust opposition is crucial as it decides how well any democracy functions. Principally, it determines whether bills are passed in Parliament in noisy and chaotic automation or whether Parliament passes those bills with adequate consultation. A robust opposition more effectively raises the voices of those who did not vote for the party or coalition that won, holds the government of the day to account and enforces course correction whenever necessary. The Congress should be commended for at least holding an election. Itâ€™s also a shrewd political move to blunt the BJPâ€™s attack on the Congress over the dynasty issue. Be that as it may, the",,,bjp,neutral
"British politics seems to be on a loop tape. Here we are again for the second time in under four months - a Prime Minister forced to stand down after losing the confidence of Conservative Members of Parliament, and a bruising leadership contest in prospect. And while we aren't yet sure who will stand, the two leading contenders are likely to be Rishi Sunak, the former Chancellor of the Exchequer, and Boris Johnson, who may seek a sensational political comeback. This will be Rishi Sunak's second bid for the top job, and this time around, he could make it. Conservative MPs will vote on Monday and then the two front-runners will face an online poll of Conservative Party members with the result announced next Friday, October 28. Rishi Sunak has huge advantages: he has more support among Conservative Members of Parliament than any other likely contender; he had warned that Liz Truss's plans for unfunded tax cuts would lead to disaster, as has proved to be the case; and he is seen as a competent manager of the economy who enjoys the confidence of the financial markets. But the looming shadow is of Rishi Sunak's former boss, Boris Johnson, whose",,"rishi sunak, boris johnson",,neutral
"Predicting the minds of Uttar Pradesh voters comes with a statutory 'hazard' warning. They are wizards at practising the art of franchise and over the last few polls, they have mastered the art of disguising their final choice at the time of pressing the EVM button. After travelling in UP for almost three months, I returned with a feeling that the hunter Bharatiya Janata Party (BJP) has become the hunted. So large and diverse was the BJP's 2017 victory cake that it seemed the party was failing to stop opponents from nibbling away like rats the pieces that made the cake. There were too many negatives which voters from west to east and north to south were extremely vocal about. advertisement Thatâ€™s why the Axis-My India exit poll handing over 288-326 win share to the BJP was a surprise. The exit poll showed the opposition parties like the Samajwadi Party (SP) trailing far behind with 71-101 seats and the Bahujan Samaj Party (BSP) with 3-9 seats. WATCH | Akhilesh Yadav says BJP trying to rig polls as Samajwadi Party set to win If the exit poll prediction comes true prior to Holi, UP will be awash in saffron, with other",,,bjp,anti
"Live Events (You can now subscribe to our (You can now subscribe to our Economic Times WhatsApp channel With less than six months to go for the Lok Sabha polls, a column published in UK's Guardian has predicted a hat-trick for BJP. ""In Indiaâ€™s current political landscape, the consensus among political analysts is that a win for Modi and the BJP is the most plausible outcome,"" writes Hannah Ellis-Petersen, citing BJP's recent wins in three state elections in Rajasthan, Madhya Pradesh and Chhattisgarh.""In the current political landscape, analysts widely agree that a Modi and BJP triumph is the most plausible outcome. Modi's popularity as a political strongman, coupled with the BJP's Hindu nationalist agenda, resonates strongly with the large Hindu majority, particularly in the populous Hindi belt of the north,"" the author writes.The author said that there exists some regional opposition to the BJP in pockets of south and east India, at the national level opposition appears fragmented and weak. About the recently formed opposition INDIA alliance, the author writes that it is yet ""to unite on crucial issues, though it vows to collectively challenge the BJP.""â€œThe general sense is that a BJP win is almost an inevitability at this",,narendra modi,bjp,pro
"I joined the Trinamool Congress on March 13 at its office in Kolkata. It happened rather suddenly and therefore surprised many people, including my close friends. My decision was also, as usual, rather sudden. I have acted like this throughout my life. I may take time to make up my mind, but once my mind is made up, I act swiftly. I do not summon a Panchayat before I take my decisions as some people do. So it is my decision, taken by me alone - and if it goes wrong, I have nobody to blame except myself. My disillusionment with the present BJP is well-known because I have never tried to conceal it. People often ask me why I am disillusioned with the present leadership of BJP. The reply is simple and straightforward. It is because the present BJP is poles apart from the BJP I joined decades ago. I joined the BJP led by Atal Bihari Vajpayee and LK Advani and I served it loyally until 2014 when the leadership of the party was taken over by the Modi-Shah combine. Though I was not against their leading the party and government, I had a premonition. I knew that",,"atal bihari vajpayee, lk advani, narendra modi, amit shah",bjp,anti
"Almost a billion people will vote between April 19 and June 1 to elect a new Lok Sabha, with the results coming out on June 4. The next 76 days will see intense campaigning with the news cycle being taken over completely by the elections. As the race begins, the outcome seems an obvious one â€” but Indian elections have thrown up surprises in the past, most notably in 2004, when a Bharatiya Janata Party (BJP)-led National Democratic Alliance (NDA) government went into the polls expecting to win and lost. Still, 2024 is not 2004, the NDA under Narendra Modi is very different from the NDA under Atal Bihari Vajpayee, the Congress in 2024 is a pale shadow of that in 2004, and regional parties in 2024 are not the force they were in 2004. The biggest difference is the BJP itself, the current national political hegemon. Not since the Congress in its heyday in the 1960s has one party dominated the national political landscape the way the BJP has. The BJP under Narendra Modi and Amit Shah has shaped itself into an election-fighting machine that has shown the ability to grow organically as well as inorganically, forge alliances at",,"narendra modi, atal bihari vajpayee, amit shah","bjp, nda",pro
"But in the Bihar assembly election, given the overwhelming China factor and Islamabad in the background, Modi-shah will need to find a new target. Pakistan-bashing has always been the favourite pre-election rhetoric of Narendra Modi and Amit Shahâ€™s BJP, mainly because it echoes across states â€” from Gujarat to Assam. Pakistan is an easy target, a toxic, blood-thirsty and, most importantly, Muslim neighbour. It immediately triggers an emotion of being the â€˜otherâ€™ that needs to be taught a lesson, and that of course, can only be tackled by Prime Minister Modiâ€™s â€˜ 56-inch chest â€™. For BJPâ€™s core voter, it suffices that Pakistan is an Islamic state, and the projection of it being the perpetual aggressor adds just the right seasoning. With China emerging as the main enemy in recent months, the Bharatiya Janata Party will have to find a new â€˜otherâ€™ to whip up sentiments ahead of the Bihar assembly election beginning 28 October. China doesnâ€™t do the job because it hardly evokes the same anger or hatred that Pakistan does among a majority of Indians to suit the BJP. The BJP did try to create a new enemy with the Sushant Singh Rajput case and Rhea Chakraborty in",,"narendra modi, amit shah",bjp,pro
