Sentence,Aspect Term,Polarity
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",look,Positive
"you can find many laptops with the same performance and even better with lower price, but you cannot find the look, easy, applications, and the experience in mac.",applications,Positive
Excellent speed for processing data.,speed,Positive
When you call tech support you were routed to someone who was in another country and did not know what they were doing.,tech support,Negative
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",gaming,Positive
"It has come into good use for my finances, scheduling, my parents business expenses, and it is definitely amazing for gaming.",use,Positive
I was taught to use Photoshop and was amazed.,Photoshop,Positive
Somehow the system clock got messed up after reboot.,system clock,Negative
"the only problem is that i had to add 1 gb RAM, the computer was kinda slow.",RAM,Negative
With the macbook pro it comes with freesecuritysoftware to protect it from viruses and other intrusive things from downloads and internet surfing or emails.,securitysoftware,Positive
"The driver updates don't fix the issue, very frustrating.",driver updates,Negative
I will never go back to Windows!,Windows,Negative
It doesnt work worth a damn.,work,Negative
It works really well.,works,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,Positive
"Bigger HD, better graphics card, and a bid HD.",HD,Positive
"Bigger HD, better graphics card, and a bid HD.",graphics card,Positive
The built in camera is very useful when chatting with other techs in remote buildings on our campus.,built in camera,Positive
"Mine came at $1,700 w/o a DVD burner (!).",DVD burner,Negative
The DVD burner broke after burning 3 DVD'd during that time!,DVD burner,Negative
It works fine with our wireless and they've had not problems.,works,Positive
But you must get the 15 inch.,15 inch,Positive
Product support very poor as each phone call costs me long distan,Product support,Negative
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",screen,Positive
"Overall the computer is very easy to use, the screen is perfect, great computer, my daughter loves.",use,Positive
Ã‚Â The casing of the power cord fried and shocked my husband when he pulled it out of the socket.,casing of the power cord,Negative
It does not keep internet signals no matter where you bring it.,internet signals,Negative
It's a great product for a great price!,price,Positive
"Again, the same problem, the right speaker did not work.",right speaker,Negative
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,price tag,Negative
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,software,Positive
But see the macbook pro is different because it may have a huge price tag but it comes with the full software that you would actually need and most of it has free future updates.,updates,Positive
and the multiple page viewer ( allows you to press one button to see every separate page currently opened at the same time in one screen) are great for those who are working non stop or just shopping online.,multiple page viewer,Positive
This was the 3rd day and part still had not been shipped.,shipped,Negative
Keyboard good sized and wasy to use.,Keyboard,Positive
Keyboard good sized and wasy to use.,use,Positive
HP said it was out of warranty.,warranty,Neutral
"I never had this kind of quality issue with Dell (not to say Dell is that great), not with a brand new laptop.",quality,Negative
wonderful features.,features,Positive
I had to call HP and ask for a recovery disk because the computer does not come with one and completely redo it all.,recovery disk,Negative
Im glad that it has such great features in it.,features,Positive
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,programs,Positive
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office,Negative
I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,Office programs,Positive
Great wifi too.,wifi,Positive
"WHEN TYPING, LETTERS AND SPACES ARE FREQUENTLY OMITTED REQUIRING THE USER TO REDO MANY WORDS AND SENTENCES.",TYPING,Negative
"Ã‚Â Only a few days after I received the computer back, the screen froze again.",screen,Negative
It is not ideal for children because of the temp.,temp,Negative
Although i do believe that Windows operating system may be to fault for some of the problems.,Windows operating system,Negative
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",OS,Positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",processor speed,Positive
"Great OS, fabulous improvements to the existing line bumping up the processor speed and adding the thunderbolt port.",thunderbolt port,Positive
Ã‚Â The lcd screen stopped working on mine after 10 months.,lcd screen,Negative
Images are crisp and clean.,Images,Positive
although its windows vista compared to windows xp sucks.,windows vista,Negative
although its windows vista compared to windows xp sucks.,windows xp,Positive
"Ã‚Â We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Vista,Negative
"Ã‚Â We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Adobe Flash player,Negative
"Ã‚Â We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Internet Explore,Negative
"Ã‚Â We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",Windows update,Negative
"Ã‚Â We have had numerous problems with Vista, such as Adobe Flash player just quits and has to be uninstalled and then reinsalled, Internet Explore just quits and you lose whatever you were working on, also, the same Windows update has appeared on this computer since we got it and has been updated probably 400 times, the same update.",update,Negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,Negative
with the switch being at the top you need to memorize the key combination rather than just flicking a switch.,switch,Negative
"One more tip, please purchase this model and get a 4GB stick of RAM to save you $10",4GB stick of RAM,Neutral
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,hardrive,Negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,touch control buttons,Negative
It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,keyboard,Negative
I always have used a tower home PC and jumped to the laptop and have been very satisfied with its performance.,performance,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iLife software,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iPhoto,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iMovie,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iWeb,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",iTunes,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",GarageBand,Positive
"The computer runs very fast with no problems and the iLife software that comes with it (iPhoto, iMovie, iWeb, iTunes, GarageBand) is all very helpful as well.",runs,Positive
At first it worked well for a month or so then the system board failed and I send it in to toshiba some complaints and three weeks later I then receive my laptop back only to discover that it still has the same problem so now I have to send it back again to get it fixed again.,system board,Negative
"Ã‚Â Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",size,Neutral
"Ã‚Â Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",software,Neutral
"Ã‚Â Until I bought the Dell, I thought you just looked for what you wanted (size, software, options, hardware) and purchase the best deal you could find.",hardware,Neutral
"It has plenty of memory, lots of hard drive, and great graphics.",memory,Positive
"It has plenty of memory, lots of hard drive, and great graphics.",hard drive,Positive
"It has plenty of memory, lots of hard drive, and great graphics.",graphics,Positive
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,programs,Positive
It didn't take me long to get switched over to the Mac computer programs and navigation - it's been just fine and like the way this laptop functions much better.,navigation,Positive
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",hinge,Negative
"However, my girlfriend realized that the netbook's hinge is a bit loose (when you open or close the LCD).",LCD,Neutral
My problem was with DELL Customer Service.,DELL Customer Service,Negative
"Newegg's RMA service was great as always, I contacted them late Friday night, and they issued me an RMA number and a PrePaid UPS shipping label the very next morning on Saturday.",RMA service,Positive
Design: very durable.,Design,Positive
It is easy to go from one keyboard to another.,keyboard,Positive
Has a 5-6 hour battery life.,battery life,Neutral
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,screen/video resolution,Negative
My ONLY issues are: 1) the screen/video resolution won't increase to a higher resolution then 1024 x 60,resolution,Negative
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",applications,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Dreamweaver,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Final Cut Pro 7,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Photoshop,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Safari,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",Firefox,Neutral
"I run Dreamweaver, Final Cut Pro 7, Photoshop, Safari, Firefox, MSN Messenger and a few other applications constantly at the same time.",MSN Messenger,Neutral
"Ã‚Â I was told by many that it was a great computer, but we got one of these, and it worked great for one year, and as soon as the warrenty was up, then it got really bad.",warrenty,Negative
Ive had to call tech support many times.,tech support,Negative
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",Apple applications,Positive
"The Apple applications (ex.iPhoto) are fun, easy, and really cool to use (unlike the competition)!",iPhoto,Positive
Not to mention it has shit gigs.,gigs,Negative
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",memory,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",17-inch screen,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",DVD,Neutral
"I paid for extra memory and the 17-inch screen, as well as the top of the line DVD and CD burners.",CD burners,Neutral
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",web browsing,Positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",uploading photos,Positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",watching movies,Positive
"Its pretty fast and does not have hiccups while I am using it for web browsing, uploading photos, watching movies (720p) on occasion and creating presentations.",creating presentations,Positive
"Quality Display I love HP,, it's the only computer/printer we will buy.",Quality Display,Positive
"Despite the inconvenient weight, I opted for the 12 cell battery.",weight,Negative
"Despite the inconvenient weight, I opted for the 12 cell battery.",12 cell battery,Neutral
The case is carved out of a single block of aluminum.,case,Positive
Ã‚Â  First it burned or fused the power adapter plug.,power adapter plug,Negative
"the features are great, the only thing it needs is better speakers.",features,Positive
"the features are great, the only thing it needs is better speakers.",speakers,Negative
"It was still working, but there was nothing on the screen.",screen,Negative
I bought this laptop and found its TAB is not functioning.,TAB,Negative
Ã‚Â Toshiba is aware of the issue but unless the extended warrenty is bought Toshiba will do nothing about it.,extended warrenty,Negative
"-Called headquarters again, they report that TFT panel is broken, should be fixed by the end of the week (week 3).",TFT panel,Negative
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Navigation,Positive
"Navigation through the computer is far superior compared to Windows operating systems, as well.",Windows operating systems,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",screen size,Negative
"The screen is framed by half- to a full-inch margin that is obviously unnecessary, reduces the screen size and increases the bulk.",bulk,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",music software,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",software,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",picture,Negative
"Though the picture, video, and music software is nowhere close to professional grade software Im used to (CS5) but does the job for beginner and even intermediate media designers.",video,Negative
The much lauded combined touch pad and clicker is a nightmare.,combined touch pad and clicker,Negative
"The Unibody construction is solid, sleek and beautiful.",Unibody construction,Positive
This MacBook is an outstanding product with great value.,value,Positive
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,Windows,Negative
I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,screen hinges,Negative
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,BATTERY,Negative
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,STORAGE LIFE,Negative
A SECOND PROBLEM INVOLVES THE BATTERY WHICH IS ADVERTISED AS HAVING A STORAGE LIFE OF 11 HOURS BUT WHEN FULLY CHARGED SHOWS ONLY 7 HOURS OF SERVICE.,SERVICE,Negative
and plenty of storage with 250 gb(though I will upgrade this and the ram..),storage,Positive
and plenty of storage with 250 gb(though I will upgrade this and the ram..),ram,Neutral
"No temporary replacement, they are out of replacements because ""many computers had problems with the Nvidia chipset""-Inquired status of repair.",Nvidia chipset,Negative
I took it to friend who temporarily fixed it and I finally paid about 1500 for the extended warranty.,extended warranty,Negative
"Programs would crash all the time, and it turned out to be a very unstable, unreliable laptop for me.",Programs,Negative
I BOUGHT THIS LAP TOP AND THE CHARGE TIME DOSEN'T LAST AS LONG AS THEY SAY IT WILL MORE LIKE 2 HOURS,CHARGE TIME,Negative
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",size,Negative
"Also, because of the size and consistancy of the laptop computer, some websites wouldn't even attempt to work on the computer because of browser problems.",consistancy,Negative
"the key bindings take a little getting used to, but have loved the Macbook Pro.",key bindings,Negative
Keyboard is reasonable size.,Keyboard,Positive
Keyboard is reasonable size.,size,Positive
I find myself using the 10-key more than I thought I would.,10-key,Positive
Fan noise: The fan made a constant hissing noise in the background.,Fan,Negative
Fan noise: The fan made a constant hissing noise in the background.,fan,Negative
"The screen is bright and clear, the operating system is solid and friendly to a novice.",screen,Positive
"The screen is bright and clear, the operating system is solid and friendly to a novice.",operating system,Positive
It has a .1 ghz faster processor and a stock 500gb hard drive.,processor,Positive
It has a .1 ghz faster processor and a stock 500gb hard drive.,500gb hard drive,Neutral
The feature are good enough for what I need.,feature,Positive
"Finally, the biggest problem has been tech support.",tech support,Negative
""" This isn't a big deal, I haven't noticed the issue with DVDs or other media, only through USB output.",USB output,Negative
With Windows laptops a wireless mouse is an absolute must.,wireless mouse,Neutral
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",size,Positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",screen,Positive
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Windows,Neutral
"(I had been a Windows/Linux user before this) I love the size because the screen is big enough for what I use it for (Internet, artwork), and yet it is small enough to be reasonably portable.",Linux,Neutral
But if you're willing to pay another 200 dollar for a windows disc.,windows disc,Negative
Very good quality and well made.,quality,Positive
"I bought a Logitech desktop set in anticipation for using with the MBP, but I use the touchpad 90% of the time.",touchpad,Positive
my niece and nephew have played a few web games and it runs anything that doesn't require a dedicated video card.,video card,Neutral
It had the full sized touch pad with 2 buttons instead of just one.,touch pad,Positive
"Typically, when I purchase a new laptop I always end up using an external mouse for convenience.",external mouse,Neutral
It was super easy to set up and Is really easy to get used to.,set up,Positive
"The only thing that can be updated is the video, other than that you're all set.",video,Neutral
Its a good laptop for its value.,value,Positive
Then the hard drive failed;,hard drive,Negative
"Plain and simple, it(laptop) runs great and loads fast.",runs,Positive
"Plain and simple, it(laptop) runs great and loads fast.",loads,Positive
of course my warranty runs out next month.,warranty,Neutral
The capabilities using that program alone made me want a Mac.,program,Positive
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",disk throughput,Negative
"(If you ever see the spinning beachball come up when you think it shouldn't, check the ""Activity Monitor"" app to see if the disk throughput has temporarily dropped to zero.",spinning beachball,Negative
"I have found also, it is very easy to be able to access wireless internet access;",wireless internet access,Positive
This is a great value for the money.,value,Positive
"It was a great laptop, ran great and was really fast.",ran,Positive
The battery has never worked well.,battery,Negative
I will never buy another computer from Dell ever again do to how awful it worked and how I was treated by the company.,company,Negative
The only problem is a lack of screen resolutions!,screen resolutions,Negative
"Small enough to use on a long flight, Light enough to carry through airports and powerful enough to replace my desktop while on long business trips.",carry,Positive
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,keyboard,Negative
Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,edges,Negative
"It has many great programs, such as ILife, iPhotos and others.",programs,Positive
"It has many great programs, such as ILife, iPhotos and others.",ILife,Positive
"It has many great programs, such as ILife, iPhotos and others.",iPhotos,Positive
"The processor went on me, the fan went and the motherboard went.",processor,Negative
"The processor went on me, the fan went and the motherboard went.",fan,Negative
"The processor went on me, the fan went and the motherboard went.",motherboard,Negative
It is very well built.,built,Positive
I highly recommend this laptop to anybody that wants great performance from a laptop and would like to relax and not become enraged cursing the gods about to throw your laptop out the door.,performance,Positive
The screen resolution was exactly what I was looking for.,screen resolution,Positive
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Snow Leopard,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",CPU,Negative
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Office Mac applications,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Word,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",Excel,Neutral
"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",spinning wheel,Negative
There is no number pad to the right of the keyboard which is a bummer.,pad,Negative
There is no number pad to the right of the keyboard which is a bummer.,keyboard,Negative
After 20-30 min the screen of the notebook switched off.,screen,Negative
"If upgrade is possible to the full Windows 7, then I will truly be a very happy geek.",Windows 7,Positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",programs,Positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iLife,Positive
"I was originally concerned that I couldn't view work I had done in college on my Mac because of the PC formatting, but I was even more thrilled to learn of programs like iLife and iWork that allow you to convert your PC documents into readable files on Macs.",iWork,Positive
"It is a big big, but since it has a 18.4"" screen what would you expect!","18.4"" screen",Positive
10 hours of battery life is really something else....,battery life,Positive
Runs fast and the regular layout keyboard is so much better.,regular layout keyboard,Positive
Runs fast and the regular layout keyboard is so much better.,Runs,Positive
"All the programs are easy and straight forward on my MacBook Pro, it is clean and organized, which I always strive to be myself.",programs,Positive
I reinstalled windows through the recovery discs and everything seemed good again.,windows,Neutral
I reinstalled windows through the recovery discs and everything seemed good again.,recovery discs,Positive
"Windows 7 Starter is terrific (no you can't change the background) but I don't need to, I use it just for school work.",Windows 7 Starter,Positive
Support has been lackluster and now I just want a refund.,Support,Negative
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",3 year warranty,Negative
"First of all, they had no record of me having the 3 year warranty I'd paid almost $400 for, and I had to call in, spend hours on their online chat service, and fax in multiple documents.",online chat service,Negative
"""> iPhoto is probably the best program I have ever worked with: easy and convenient.",iPhoto,Positive
I love to write and play with graphics and html programming and my new Toshiba works great on both!,works,Positive
My laptop now has no battery.,battery,Negative
"Beta had better quality, but VHS became the industry standard.",quality,Positive
"Beta had better quality, but VHS became the industry standard.",VHS,Neutral
It made the computer much easier to use and navigate.,use,Positive
It made the computer much easier to use and navigate.,navigate,Positive
":-)If you buy this - don't go into it expecting 7 hrs of battery life, and you'll be perfectly satisfied.",battery life,Negative
"Needs longer lasting battery, More than 1 to 2 Hrs.",battery,Negative
in May I started having problems with the USB ports not working.,USB ports,Negative
10 plus hours of battery...,battery,Positive
"The design is awesome, quality is unprecedented.",design,Positive
"The design is awesome, quality is unprecedented.",quality,Positive
The Mac version of Microsoft Office is cheaper than buying the actual and works just as well.,Mac version of Microsoft Office,Positive
"The Mac takes about the same amount of starting-up time as the average PC, but keeps itself cleaned up and ready to use.",starting-up time,Neutral
The Toshiba Net book operates very well.,operates,Positive
"the touch pad is fine - again, it's a real touch pad.",touch pad,Positive
"the touch pad is fine - again, it's a real touch pad.",touch pad,Positive
The pictures are clear as can be.,pictures,Positive
"It is also very lightweight, making transporting this computer very easy.",transporting,Positive
It's wonderful for computer gaming.,gaming,Positive
You have to toss out the wifi card and replace it just to have any sort of network capability.,network capability,Negative
You have to toss out the wifi card and replace it just to have any sort of network capability.,wifi card,Negative
"AND the best part is that it even comes with a free printer (when they have a certain promotion/offer going, of course)!",printer,Positive
it is very easy for anyone to use an apple and specially the mcbook pro notebook.,use,Positive
"The flaws are, this computer is not for computer gamers because of the OS X.",OS X,Negative
They really do have the worlds very worst repair service.,repair service,Negative
They need to stop outsoucing and send some complaint calls to US based customer service agents for those who live in the United states.,customer service agents,Negative
Ã‚Â I was also able to install and use my Photoshop and AfterEffects programs easily.,Photoshop,Positive
Ã‚Â I was also able to install and use my Photoshop and AfterEffects programs easily.,AfterEffects programs,Positive
It's perfect for everything and runs faster than an average pc!,runs,Positive
Ã‚Â Then after paying for it to be examined I was told it was same problem cited on website but I'd have to pay anyways since it was past warrenty.,warrenty,Negative
I'm already hooked on the sleek look and dependability that this laptop has shown.,look,Positive
I'm already hooked on the sleek look and dependability that this laptop has shown.,dependability,Positive
And having to deal with the company has been a even worse nightmare.,company,Negative
Ã‚Â I will definitely be getting a new laptop if it has any more issues after the warranty expires and researching carefully when I do so I don't run accross a situation like this again!,warranty,Neutral
It has all the features that are necessary for college and if not they are able to be added onto the computer.,features,Positive
"I've owned this labtop for less then two months, already the mouse button has broke.",mouse button,Negative
"It did fairly well, other than it's poor performance, overheating and occational blue screen.",performance,Negative
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",touchpad,Positive
"The touchpad is very intuitive, so much so that I never want to use buttons to click again!",buttons,Negative
tons of bloatware and junk programs.,programs,Negative
lots of extra space but the keyboard is ridiculously small.,space,Positive
lots of extra space but the keyboard is ridiculously small.,keyboard,Negative
It's so bad that I'm thinking I only got half a battery or something.,battery,Negative
"Good keyboard, long battery life, largest hard drive and windows 7.",keyboard,Positive
"Good keyboard, long battery life, largest hard drive and windows 7.",battery life,Positive
"Good keyboard, long battery life, largest hard drive and windows 7.",hard drive,Positive
"Good keyboard, long battery life, largest hard drive and windows 7.",windows 7,Positive
The processor is very quick and effective as I load webpages and applications.,processor,Positive
The processor is very quick and effective as I load webpages and applications.,applications,Neutral
The processor is very quick and effective as I load webpages and applications.,load,Positive
The processor is very quick and effective as I load webpages and applications.,webpages,Neutral
My battery went bad about a year and a half after having it and it cost around eighty to a hundred dollars!,battery,Negative
"It pretty much does everything we could ever need, and looks great to boot.",boot,Positive
"As a lifelong Windows user, I was extremely pleased to make the change to Mac.",Windows,Neutral
"The Macbook is also made better, my computer has never got a virus, and the laptop runs just as fast as the first day I bought it.",runs,Positive
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",OpenOffice,Neutral
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",Firefox,Neutral
"I wiped nearly everything off of it, installed OpenOffice and Firefox, and I am operating an incredibly efficient and useful machine for a great price.",price,Positive
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",quality,Negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",performance,Negative
"Overall I feel this netbook was poor quality, had poor performance, although it did have great battery life when it did work.",battery life,Positive
"I picked it out because it was inexpensive ($400) and I thought it would be a good, easy to use first laptop.",use,Positive
MY ONLY PROBLEM IS I CAN NOT REG. THE PRODUCT KEY.,PRODUCT KEY,Negative
Pay attention to the specs if you want these options.,specs,Neutral
It also does not have bluetooth.,bluetooth,Negative
Sure it has the one touch keys but that was the best feature of the computer.,feature,Positive
Sure it has the one touch keys but that was the best feature of the computer.,one touch keys,Positive
great battery life.,battery life,Positive
The real stand out on this computer is the feel of the keyboard and it's speed.,keyboard,Positive
The real stand out on this computer is the feel of the keyboard and it's speed.,speed,Positive
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",specs,Positive
"At first, the computer seemed a great deal--seemingly high-end specs for a low, low price.",price,Positive
Delivery was early too.,Delivery,Positive
Love the stability of the Mac software and operating system.,stability,Positive
Love the stability of the Mac software and operating system.,Mac software,Positive
Love the stability of the Mac software and operating system.,operating system,Positive
And that probably explains why I've already had my SATA controller go bad within a year of buying it.,SATA controller,Negative
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,video editing,Positive
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,performance,Neutral
It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,mobile video editing,Neutral
My main reason to convert was the imovie program.,imovie program,Positive
It has a faster processor and more ram.,processor,Positive
It has a faster processor and more ram.,ram,Positive
"Laptops are usually used on the go, so why not give you a better battery?",battery,Negative
I will never complain about the price since I believe you get what you pay for and my MacBook Pro was worth every dollar.,price,Positive
I wasn't a big fan of the Netbooks but this one was very well designed.,designed,Positive
And the warranty on this macbook pro can last up to 5 years or 1000 battery recharge cycles.,warranty,Positive
I still have that stupid bluetooth mouse to!,bluetooth mouse,Negative
"Would like more trendy, high tech features.",features,Negative
Keyboard is great but primary and secondary control buttons could be more durable.,Keyboard,Positive
Keyboard is great but primary and secondary control buttons could be more durable.,control buttons,Negative
"Screen is a bit glossy, but that's not too bad.",Screen,Negative
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,Negative
"I got it back again and was told the motherboard had been replaced, so I was now on the SECOND motherboard within 3 months.",motherboard,Negative
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,Processor,Neutral
Processor - When compared to my 3 week old Early 2011 edition there I barely experience any difference in performance (2.3 GHz v/s 2.4 GHz).,performance,Neutral
"They say it could be the motherboard again, but Dell",motherboard,Negative
2nd Best computer in the world only one way this computer might become the best is that it needs to upgreade patches to make less easier for people to hack into,patches,Negative
"Love the speed, especially!",speed,Positive
